species;species2;occ;habitat;kvadrat;x;y;temperature;precipitation;artificalSurfaces;agricultur;water;forest
Bucephala clangula;Common goldeneye;0;water;5461;-630792;-1005466;108;72;1;66.43125838;0;39.35019452
Bucephala clangula;Common goldeneye;0;water;5363;-606072;-997112;100;74;1;41.24477593;0;19.30646441
Bucephala clangula;Common goldeneye;0;water;5462;-619057;-1006828;102;73;1;62.93546858;0;44.63936709
Bucephala clangula;Common goldeneye;0;water;5364;-594356;-998421;97;74;1;12.87174446;0;8.326302851
Bucephala clangula;Common goldeneye;0;water;5463;-607320;-1008168;104;72;1;79.23794415;0;31.82627484
Bucephala clangula;Common goldeneye;0;water;5464;-595579;-1009479;109;68;1;46.98015155;0;5.457082095
Bucephala clangula;Common goldeneye;0;water;5544;-831454;-989295;86;73;1;32.00527316;2.29235;60.38856366
Bucephala clangula;Common goldeneye;0;water;5545;-819757;-991105;97;66;1;43.42832539;0;50.41608019
Bucephala clangula;Common goldeneye;1;water;5546;-808055;-992890;112;59;2;75.73133545;1.763765;14.42263717
Bucephala clangula;Common goldeneye;0;water;5547;-796350;-994648;116;57;2;92.27297956;0;6.212774135
Bucephala clangula;Common goldeneye;0;water;5548;-784641;-996379;113;57;1;110.0405829;0;10.500637
Bucephala clangula;Common goldeneye;0;water;5549;-772928;-998085;113;57;1;112.2707842;0;11.48183814
Bucephala clangula;Common goldeneye;0;water;5550;-761211;-999765;122;54;1;114.277547;0;5.829240484
Bucephala clangula;Common goldeneye;0;water;5551;-749491;-1001418;125;53;1;96.0873262;0.580195;14.58512677
Bucephala clangula;Common goldeneye;0;water;5552;-737766;-1003044;124;54;1;76.44785537;0.580187;30.21766831
Bucephala clangula;Common goldeneye;0;water;5553;-726038;-1004645;118;56;1;66.66965028;0;44.97053376
Bucephala clangula;Common goldeneye;0;water;5554;-714307;-1006221;120;56;1;93.45852213;0;24.80534491
Bucephala clangula;Common goldeneye;0;water;5555;-702572;-1007768;124;56;1;87.77219871;0;17.55204408
Bucephala clangula;Common goldeneye;1;water;5556;-690833;-1009293;123;58;1;97.82892369;0.492535;20.63985084
Bucephala clangula;Common goldeneye;0;water;5557;-679091;-1010788;118;61;1;95.25957131;0.206418;23.02959583
Bucephala clangula;Common goldeneye;0;water;5558;-667345;-1012260;117;63;1;92.91542381;0.218429;20.48119741
Bucephala clangula;Common goldeneye;0;water;5559;-655596;-1013704;113;67;1;82.66178682;0;30.67535453
Bucephala clangula;Common goldeneye;0;water;5560;-643843;-1015122;111;70;1;69.00594544;0.233321;36.64798175
Bucephala clangula;Common goldeneye;0;water;5561;-632088;-1016515;111;70;1;82.18233119;0;32.34938311
